name,rating,reviews_count,description,address,phone_number,website
Roof Expert &Company limited,4.8,(82),NaN,+353 85 192 5117,NaN,NaN
Inner city roofing Ltd,5.0,(24),NaN,+353 86 370 4971,NaN,NaN
Roofing Experts & Co Ltd,4.9,(87),NaN,"23B York Rd, Rathgar, Dublin, D06 V253, Ireland",NaN,NaN
Ascend Roofing Ltd,NaN,NaN,NaN,+353 85 712 5941,NaN,NaN
South Dublin Roofing,4.3,(13),NaN,"77 Camden Street Lower, Saint Kevin's, Dublin 2, D02 XE80, Ireland",NaN,NaN
Dublin Roofing Services Sandyford,4.7,(48),NaN,"51 Bracken Rd, Sandyford, Dublin, D18 CV48, Ireland",NaN,NaN
Modern Roofing _ Roofers Dublin _ Roof Repairs Dublin,5.0,(21),NaN,+353 83 088 0473,NaN,NaN
All City Roofing,4.7,(36),NaN,"Kandoy House, 2 Fairview Strand, Clontarf West, Dublin, D03 R8P3, Ireland",NaN,NaN
South Dublin Roofing Company,5.0,(55),NaN,"51 Glenavon Park, Glenageary, Ballybrack, Co. Dublin, A96 X9P5, Ireland",NaN,NaN
D.Hennessy Roofing,4.9,(189),NaN,"25 Hollybank Rd, Drumcondra, Dublin 9, D09 CX33, Ireland",NaN,NaN
